Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.24      0.89     0.89 12629702     0.00     0.00  get_non_updateable_bb
 15.07      1.77     0.88   848146     0.00     0.00  comp_delta_td_cost
 14.21      2.60     0.83 25584958     0.00     0.00  comp_td_point_to_point_delay
  8.90      3.12     0.52   848146     0.00     0.00  find_affected_nets
  7.45      3.56     0.44 18463104     0.00     0.00  get_seg_start
  7.02      3.97     0.41   869998     0.00     0.00  try_swap
  6.85      4.37     0.40 15637785     0.00     0.00  get_net_cost
  4.79      4.65     0.28   386965     0.00     0.00  update_td_cost
  3.77      4.87     0.22  3008047     0.00     0.00  update_bb
  2.91      5.04     0.17    68548     0.00     0.00  label_wire_muxes
  2.57      5.19     0.15 18254940     0.00     0.00  get_seg_end
  2.05      5.31     0.12   315200     0.00     0.00  get_bb_from_scratch
  1.20      5.38     0.07   869998     0.00     0.00  find_to
  0.86      5.43     0.05      124     0.00     0.00  load_net_slack
  0.68      5.47     0.04  3022684     0.00     0.00  my_irand
  0.68      5.51     0.04  1421350     0.00     0.00  get_rr_node_index
  0.68      5.55     0.04   638248     0.00     0.00  my_frand
  0.68      5.59     0.04      510     0.00     0.00  get_net_wirelength_estimate
  0.51      5.62     0.03    30888     0.00     0.00  label_wire_muxes_for_balance
  0.34      5.64     0.02   848146     0.00     0.00  assess_swap
  0.34      5.66     0.02    22465     0.00     0.00  get_heap_head
  0.34      5.68     0.02    11821     0.00     0.00  min_dist_from_mst
  0.34      5.70     0.02        1     0.02     0.02  add_rr_graph_C_from_switches
  0.34      5.72     0.02        1     0.02     0.02  sync_nets_to_blocks
  0.17      5.73     0.01   222559     0.00     0.00  node_to_heap
  0.17      5.74     0.01   220989     0.00     0.00  add_to_heap
  0.17      5.75     0.01   218668     0.00     0.00  insert_in_edge_list
  0.17      5.76     0.01   217602     0.00     0.00  get_expected_segs_to_target
  0.17      5.77     0.01   166056     0.00     0.00  is_sbox
  0.17      5.78     0.01    55176     0.00     0.00  get_track_to_tracks
  0.17      5.79     0.01    29040     0.00     0.00  is_cbox
  0.17      5.80     0.01    20292     0.00     0.00  check_pass_transistors
  0.17      5.81     0.01    19577     0.00     0.00  timing_driven_expand_neighbours
  0.17      5.82     0.01    15972     0.00     0.00  get_track_to_ipins
  0.17      5.83     0.01      477     0.00     0.00  mark_ends
  0.17      5.84     0.01        1     0.01     0.01  free_rr_node_indices
  0.09      5.84     0.01                             dump_seg_details
  0.00      5.84     0.00   383841     0.00     0.00  my_malloc
  0.00      5.84     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      5.84     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      5.84     0.00   220989     0.00     0.00  alloc_heap_data
  0.00      5.84     0.00   220989     0.00     0.00  free_heap_data
  0.00      5.84     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      5.84     0.00    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.00      5.84     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      5.84     0.00    58080     0.00     0.00  vpr_to_phy_track
  0.00      5.84     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      5.84     0.00    20292     0.00     0.00  check_node
  0.00      5.84     0.00    19634     0.00     0.00  IsWhitespace
  0.00      5.84     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      5.84     0.00    19536     0.00     0.00  alloc_linked_f_pointer
  0.00      5.84     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      5.84     0.00    13068     0.00     0.00  find_label_of_track
  0.00      5.84     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      5.84     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      5.84     0.00     4966     0.00     0.00  is_opin
  0.00      5.84     0.00     4742     0.00     0.00  check_subblock_pin
  0.00      5.84     0.00     4627     0.00     0.00  alloc_rt_node
  0.00      5.84     0.00     4627     0.00     0.00  alloc_trace_data
  0.00      5.84     0.00     4627     0.00     0.00  free_rt_node
